Title,Genre,Duration (minutes),IMDb Rating,MetaScore,Certificates,Year,Poster-src,Score
The Devil's Violinist,Biography,122.0,6.0,38.0,R,2013,"https://m.media-amazon.com/images/M/MV5BNTQ1MjUzMTY0Nl5BMl5BanBnXkFtZTgwNjAwNDM1MDE@._V1_QL75_UY281_CR5,0,190,281_.jpg",5.339999999999999
A Tale of Love and Darkness,Biography,95.0,6.0,55.0,PG-13,2015,"https://m.media-amazon.com/images/M/MV5BMjIyNzk2MTY0Ml5BMl5BanBnXkFtZTgwMzExNTA2OTE@._V1_QL75_UX190_CR0,0,190,281_.jpg",5.85
Cobb,Biography,128.0,6.4,66.0,R,1994,"https://m.media-amazon.com/images/M/MV5BMzg5YzgwMjgtOWFiYy00YmEyLWJlY2EtZjg5YWQwOTlkMTBlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,0,190,281_.jpg",6.459999999999999
Godard Mon Amour,Biography,107.0,6.6,55.0,R,2017,"https://m.media-amazon.com/images/M/MV5BYTNkNGQ0MDctNGNjMS00Y2NhLTk4MTItYjMyMDczZWVjMTJkXkEyXkFqcGdeQXVyNjc0MzY3NTA@._V1_QL75_UX190_CR0,0,190,281_.jpg",6.27
Muscle Shoals,Documentary,111.0,7.8,75.0,PG,2013,"https://m.media-amazon.com/images/M/MV5BMTUzMzU1MTA0N15BMl5BanBnXkFtZTgwMjY3MDgwMDE@._V1_QL75_UX190_CR0,0,190,281_.jpg",7.71
It's All Gone Pete Tong,Biography,90.0,7.2,56.0,R,2004,"https://m.media-amazon.com/images/M/MV5BMTY0OTY2MzMyN15BMl5BanBnXkFtZTcwNzE5NTgyMQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",6.72
Chuck,Biography,98.0,6.5,68.0,R,2016,"https://m.media-amazon.com/images/M/MV5BYzkxYmFlNjQtMGY2Ni00ZDZmLTk4NzktMTc2Mzg0OTY5MjUyXkEyXkFqcGdeQXVyNTIyODMzMzA@._V1_QL75_UX190_CR0,0,190,281_.jpg",6.59
MacArthur,Biography,130.0,6.5,66.0,PG,1977,"https://m.media-amazon.com/images/M/MV5BNTRjMjYzNDEtMjNmNy00NzJiLWE0NDgtZDk1N2IzYjgzYTMwXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_QL75_UX190_CR0,4,190,281_.jpg",6.529999999999999
Married Life,Biography,91.0,6.2,65.0,PG-13,2007,"https://m.media-amazon.com/images/M/MV5BOTUwOTYyMzkxNF5BMl5BanBnXkFtZTcwNjQ2NTg1MQ@@._V1_QL75_UX190_CR0,2,190,281_.jpg",6.29
The Wild Child,Biography,83.0,7.5,94.0,G,1970,"https://m.media-amazon.com/images/M/MV5BYzgyNTdlMDYtYjQzYS00YWYxLTg2ODUtODQyNTk4ZGQ1MWM5XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,4,190,281_.jpg",8.07
